ITEM;DESTINATARIO_DOACAO;DATA_ENTREGA;CIDADE_DESTINATARIO;PRODUTO;QUANTIDADE;UNIDADE_MEDIDA;VALOR_UNITARIO;VALOR_TOTAL
29;CASADESAÚDEPADREDAMIÃO/FHEMIG;2020-05-23;UBÁ;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
30;CASADESAÚDESANTAIZABEL;2020-05-23;BETIM;LEITE UHT INTEGRAL 1L CX C/12;2500;UN;2,219;5547,5
31;CASADESAÚDESANTALÚCIA;2020-05-23;MURIAÉ;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
32;CASADESAÚDESÃOFRANCISCODEASSIS;2020-05-23;BAMBUÍ;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
33;CASU-HOSPITALIRMÃDENISE;2020-05-23;CARATINGA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
34;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;DANONINHO UHT AMENDOA E BANANA 200ML;37719;UN;1,66;62613,54
35;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;DANONINHO UHT AMENDOA E CACAU 200ML;30429;UN;1,66;50512,14
36;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;MILNUTRI CEREAL ARROZ BANAN MACA SUGAR F;19126;UN;1,14;21803,64
37;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;MILNUTRI CEREAL MULTICEREIAIS SUGAR FREE;24044;UN;0,92;22120,48
38;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;TEA 4U CHA MATE LIMAO YUZU E MEL 1L;40244;UN;3,56;143268,64
39;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;CHA PRETO HIBISCO E BERRIES LATA 310ML;720;UN;2,37;1706,4
40;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;CHA CAPIM-LIMAO E CITRICOS LATA 310ML;60;UN;2,37;142,2
41;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;FORTFIT MORANGO 600G;4073;UN;33,12;134897,76
42;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;CESTA BÁSICA VLI;2000;UN;36,37;72740
43;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;LEITE LVINDA BONALAT 1L TP INTEGRAL;4800;UN;2,59;12432
44;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;SACHE GEL;200;UN;0,001;0,2
45;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;TERMOMETRO DIGITAL;100;UN;0,001;0,1
46;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;LEITE UHT INTEGRAL 1L CX C/12;4880;UN;2,219;10828,72
47;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-23;BELO HORIZONTE;CESTA BÁSICA VLI;5958;UN;36,37;216692,46
48;CENTROINTEGRADODESAUDESAOBENTOMENN;2020-05-23;DIVINÓPOLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
49;CISRU-CONSÓRCIOINTERMUNICIPALDAREDE;2020-05-23;BARBACENA;LUVA SEG 250MM LATEX NITRILICO M FIAT;600;UN;0,22;132
50;CISRU-CONSÓRCIOINTERMUNICIPALDAREDE;2020-05-23;BARBACENA;LUVA SEG 250MM LATEX NITRILICO P FIAT;900;UN;0,21;189
51;CISRU-CONSÓRCIOINTERMUNICIPALDAREDE;2020-05-23;BARBACENA;MACACAO CAPUZ TYVEK G FIAT;50;UN;28,67;1433,5
52;CISRU-CONSÓRCIOINTERMUNICIPALDAREDE;2020-05-23;BARBACENA;MACACAO CAPUZ TYVEK M FIAT;250;UN;28,67;7167,5
53;CISRU-CONSÓRCIOINTERMUNICIPALDAREDE;2020-05-23;BARBACENA;MACACAO CAPUZ EM TYVEK XXL FIAT;40;UN;28,67;1146,8
54;CISRU-CONSÓRCIOINTERMUNICIPALDAREDE;2020-05-23;BARBACENA;MACACAO CAPUZ TYVEK XXXL FIAT;60;UN;28,67;1720,2
55;COMPLEXODESAÚDESÃOJOÃODEDEUS;2020-05-23;DIVINÓPOLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
56;COMPLEXODESAÚDESÃOJOÃODEDEUS;2020-05-23;DIVINÓPOLIS;ALCOOL GLICERINADO 70% - GALÃO 5L;25;LT;2,83;70,75
57;CONFERÊNCIADESÃOVICENTEDEPAULODET;2020-05-23;TURMALINA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
58;CONSÓRCIOINTERMUNICIPALALTOSÃOFRANCI;2020-05-23;MOEMA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
59;CORPODEBOMBEIROSMILITARDEMINASGERA;2020-05-23;BELO HORIZONTE;LUVA DESC NITRIL AZ G CX C/300 VLI;21000;UN;0,27;5670
60;CORPODEBOMBEIROSMILITARDEMINASGERA;2020-05-23;BELO HORIZONTE;ALCOOL 70%;5000;UN;0,1;500
61;CORPODEBOMBEIROSMILITARDEMINASGERA;2020-05-23;BELO HORIZONTE;ALCOOL ETILICO 70%;1500;LT;2;3000
62;CORPODEBOMBEIROSMILITARDEMINASGERA;2020-05-23;BELO HORIZONTE;LUVA DESC NITRIL AZ G CX C/300 VLI;21000;UN;0,27;5670
63;DEFESACIVILMUNICIPALDECONTAGEM;2020-05-23;CONTAGEM;DANONINHO UHT AMENDOA E BANANA 200ML;702;UN;1,66;1165,32
64;DEFESACIVILMUNICIPALDECONTAGEM;2020-05-23;CONTAGEM;MILNUTRI CEREAL ARROZ BANAN MACA SUGAR F;1080;UN;1,14;1231,2
65;DEFESACIVILMUNICIPALDECONTAGEM;2020-05-23;CONTAGEM;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;200;UN;9,9;1980
66;DEFESACIVILMUNICIPALDECONTAGEM;2020-05-23;CONTAGEM;DANONINHO UHT AMENDOA E CACAU 200ML;702;UN;1,66;1165,32
67;DEFESACIVILMUNICIPALDECONTAGEM;2020-05-23;CONTAGEM;MILNUTRI CEREAL MULTICEREIAIS SUGAR FREE;1080;UN;0,92;993,6
68;DEFESACIVILMUNICIPALDECONTAGEM;2020-05-23;CONTAGEM;LUVA DESC NITRIL AZ M CX C/300 VLI;900;UN;0,27;243
69;DEFESACIVILMUNICIPALDECONTAGEM;2020-05-23;CONTAGEM;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;800;UN;9,9;7920
70;FAEPU-UNIDADECAPINÓPOLIS;2020-05-23;CAPINÓPOLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
71;FHEMIG-FUNDAÇÃOHOSPITALARDEMINASGE;2020-05-23;CONTAGEM;NUTRISON PACK 1000ML;1200;UN;36,62;43944
72;FHEMIG-FUNDAÇÃOHOSPITALARDEMINASGE;2020-05-23;CONTAGEM;DANONINHO UHT AMENDOA E CACAU 200ML;27621;UN;1,66;45850,86
73;FHEMIG-FUNDAÇÃOHOSPITALARDEMINASGE;2020-05-23;CONTAGEM;TEA 4U CHA MATE LIMAO YUZU E MEL 1L;436;UN;3,56;1552,16
74;FHEMIG-FUNDAÇÃOHOSPITALARDEMINASGE;2020-05-23;CONTAGEM;CHA PRETO HIBISCO E BERRIES LATA 310ML;480;UN;2,37;1137,6
75;FHEMIG-FUNDAÇÃOHOSPITALARDEMINASGE;2020-05-23;CONTAGEM;CHA CAPIM-LIMAO E CITRICOS LATA 310ML;720;UN;2,37;1706,4
76;FHEMIG-FUNDAÇÃOHOSPITALARDEMINASGE;2020-05-23;CONTAGEM;NUTRI ENTERAL 1.5 BAU TP 200ML;2754;UN;7,7;21205,8
77;FHEMIG-FUNDAÇÃOHOSPITALARDEMINASGE;2020-05-23;CONTAGEM;NUTRI ENTERAL 1.5 CHOC TP 200ML;2754;UN;8;22032
78;FHEMIG-FUNDAÇÃOHOSPITALARDEMINASGE;2020-05-23;CONTAGEM;NUTRISON ENERGY PACK 1000 ML;1986;UN;43,14;85676,04
79;FHEMIG-FUNDAÇÃOHOSPITALARDEMINASGE;2020-05-23;CONTAGEM;NUTRISON ENERGU MF PACK 1000ML;232;UN;44,02;10212,64
80;FHEMIG-FUNDAÇÃOHOSPITALARDEMINASGE;2020-05-23;CONTAGEM;FORTFIT MORANGO 600G;300;UN;33,12;9936
81;FUND.MUNICIPALS.MARIAFÉ;2020-05-23;MARIA DA FÉ;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
82;FUNDAÇÃODESAÚDECRISTOREI;2020-05-23;MATIPÓ;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
83;FUNDAÇÃOHOSPITALARDEAMPAROAOHOMEMD;2020-05-23;MANGA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
84;FUNDAÇÃOHOSPITALARDR.MOISÉSMAGALHÃES;2020-05-23;PIRAPORA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;6;UN;15,37;92,22
85;FUNDAÇÃOHOSPITALARMENDESPIMENTEL;2020-05-23;MENDES PIMENTEL;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
86;FUNDAÇÃOHOSPITALARMINASNOVAS–HOSPIT;2020-05-23;MINAS NOVAS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
87;FUNDAÇÃOHOSPITALARSÃOSEBASTIÃO;2020-05-23;TRÊS CORAÇÕES;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;12;UN;15,37;184,44
88;FUNDAÇÃOHOSPITALARSÃOVICENTEDEPAULO;2020-05-23;CAPELINHA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
89;FUNDAÇÃOMUNICIPALDESAÚDE;2020-05-23;PIRABETINGA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
90;FUNDAÇÃOMUNICIPALDESAÚDEDESÃOJOÃO;2020-05-23;SÃO JOÃO EVANGELISTA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;6;UN;15,37;92,22
91;FUNDAÇÃO HOSPITALARDOMUNICÍPIODEVARG;2020-05-23;VARGINHA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;8;UN;15,37;122,96
92;FUNED-FUNDAÇÃOEZEQUIELDIAS;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;504;UN;0,43;216,72
93;HCSL-HOSPITALDASCLÍNICASSAMUELLIBÂN;2020-05-23;POUSO ALEGRE;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
94;HEMOMINAS;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;5670;UN;0,43;2438,1
95;HEMOMINAS;2020-05-23;BELO HORIZONTE;MASCARA DE PROTEÇÃO FACE SHIELD;600;UN;0,01;6
96;HOSPITAL-CATAGUASES;2020-05-23;CATAGUASES;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
97;HOSPITALANTÔNIOALVESDACOSTA;2020-05-23;ESPERA FELIZ;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
98;HOSPITALANTÔNIOMOREIRADACOSTA;2020-05-23;SANTA RITA SAPUCAÍ;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
99;HOSPITALARNALDOGAVAZZA;2020-05-23;PONTE NOVA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;12;UN;15,37;184,44
100;HOSPITALAROLDOTOURINO;2020-05-23;MONTES CLAROS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;8;UN;15,37;122,96
101;HOSPITALBOMJESUSDECONGONHAS;2020-05-23;CONGONHAS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;6;UN;15,37;92,22
102;HOSPITALBOMPASTOR;2020-05-23;JACINTO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
103;HOSPITALBOMSAMARITANO;2020-05-23;TEÓFILO OTONI;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
104;HOSPITALCÉSARLEITE;2020-05-23;MANHUAÇU;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
105;HOSPITALCOMUNITÁRIO-LARANJAL;2020-05-23;LARANJAL;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
106;HOSPITALCONEGOUBIRAJARACABRAL;2020-05-23;ALPINOPÓLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;6;UN;15,37;92,22
107;HOSPITALDACLÍNICASDRMÁRIORIBEIRODA;2020-05-23;MONTES CLAROS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
108;HOSPITALDAFUNDAÇÃOCASADECARIDADEDE;2020-05-23;SÃO LOURENÇO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;8;UN;15,37;122,96
109;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;CHUVEIRO BONNADUCHA CHROME;91;UN;102,9;9363,9
110;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;TORNEIRA DE MESA LAVATÓRIO PREESMATIC CO;297;UN;119,9;35610,3
111;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;COLCHÃO PARA CAMA HOSPITALAR;449;UN;285;127965
112;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;SUPORTE PARA SORO COM RODIZIO;762;UN;86;65532
113;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;MONTAGEM ESTRUTURA HC EXPOMINAS;1;UN;1600000;1600000
114;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;ALCOOL GLICERINADO 70% - GALÃO 5L;300;LT;2,83;849
115;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;CAMA HOSPITALAR COM CABEREIRA ARTICULAVE;418;UN;1139,047;476121,65
116;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;CAMISOLA ABERTA ATRAS EM TECIDO SUPERTEX;229;UN;29;6641
117;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;COBERTOR SOLTEIRO 150X220;421;UN;54;22734
118;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;FRONHA PARA TRAVESSEIRO IMPERMEÁVEL C/ C;421;UN;6,95;2925,95
119;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;LENCOL PERCAL MISTO MACA 120X220;383;UN;20,7;7928,1
120;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;LENCOL PERCAL MISTO TAMANHO CAMA 160X250;918;UN;27;24786
121;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;PIJAMA TECIDO 100% ALGODAO BLUSA E BERMU;229;UN;36;8244
122;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;SACO DE HAMPER TRACADO CRU;326;UN;29;9454
123;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;TOALHA DE BANHO ROYAL 100% ALG 080X150;459;UN;21;9639
124;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;TRAVESSEIRO IMPERMEAVEL C/ CAPA NAPA;459;UN;29;13311
125;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;BATERIA DE LITIO (OLD 2M86732);7;UN;1948,96;13642,72
126;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;MONITORES MULTIPARAMETRICOS HOSPITALAR;3;UN;19000;57000
127;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;CAMA HOSPITALAR COM CABECEIRA ARTICULAVE;272;UN;1196;325312
128;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;COLCHAO PARA CAMA HOSPITALAR;91;UN;285,7;25998,7
129;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;MESA DE ALIMENTAÇÃO;740;UN;256,85;190069
130;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;INSTALAÇÃO PISO VINILICO;1;UN;181000;181000
131;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;PUIFICADOR CONSUL REF BRANCO 127V;36;UN;396,4;14270,4
132;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;FREZER HORIZONTAL 2 DOORS 534L 127V BR C;3;UN;796,35;2389,05
133;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;REFRIGERADOR DOMEST 1 PORTA 300L 127V BR;36;UN;622,68;22416,48
134;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;REFRIGERADOR DOMEST 2 PORTAS 441L 127V;2;UN;1003,06;2006,12
135;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;ENXOVAL HOSPITALAR;3545;UN;28,21;100004,45
136;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;MONITORES MULTIPARAMETRICOS HOSPITALAR;7;UN;13780;96460
137;HOSPITALDECAMPANHA-GAMELEIRA;2020-05-23;BELO HORIZONTE;CAMA ELETRICA HOME CARE;28;UN;7858;220024
138;HOSPITALDECLINICASDEUBERLANDIA;2020-05-23;UBERLANDIA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;20;UN;15,37;307,4
139;HOSPITALDEGIMIRIM;2020-05-23;POÇO FUNDO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
140;HOSPITALDERALDOGUIMARÃES;2020-05-23;ALMENARA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
141;HOSPITALDILSONGODINHO;2020-05-23;MONTES CLAROS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;6;UN;15,37;92,22
142;HOSPITALDIVINENSE;2020-05-23;DIVINO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
143;HOSPITALDR.PACIFÍCOMASCARENHAS;2020-05-23;CAETANOPOLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
144;HOSPITALEMATERNIDADEFREIFRANCISCOST;2020-05-23;MONTE BELO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;10;UN;15,37;153,7
145;HOSPITALEMATERNIDADEMUNICIPALDRODEL;2020-05-23;UBERLANDIA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;10;UN;15,37;153,7
146;HOSPITALEMATERNIDADENOSSASENHORADAS;2020-05-23;MONTE AZUL;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
147;HOSPITALEMATERNIDADERENASCER;2020-05-23;PRATA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
148;HOSPITALEMATERNIDADESÃOFRANCISCODE;2020-05-23;PARAGUAÇU;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
149;HOSPITALEMATERNIDADESÃOJOSÉ;2020-05-23;CONSELHEIRO LAFAIETE;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;6;UN;15,37;92,22
150;HOSPITALEMATERNIDADETHEREZINHADEJES;2020-05-23;JUIZ DE FORA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
151;HOSPITALEMATERNIDADEVIRGILIOROSALTD;2020-05-23;MONTE CARMELO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
152;HOSPITALEMATERNIDADEVITALBRAZIL;2020-05-23;TIMÓTEO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
153;HOSPITALESANTACASADEJACUÍ;2020-05-23;JACUÍ;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
154;HOSPITALEDUARDODEMENEZES;2020-05-23;BELO HORIZONTE;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;16;UN;15,37;245,92
155;HOSPITALESTERFARIADEALMEIDA;2020-05-23;PEDRA AZUL;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
156;HOSPITALEVANGÉLICODECARANGOLA;2020-05-23;CARANGOLA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
157;HOSPITALFREICAETANO;2020-05-23;PARAISÓPOLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
158;HOSPITALFUNDAJAN;2020-05-23;JANAÚBA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
159;HOSPITALIBIAPABACEBAMS-CENTROBARBACE;2020-05-23;BARBACENA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
160;HOSPITALIMACULADACONCEIÇÃO;2020-05-23;CURVELO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
161;HOSPITALINFANTILJOÃOPAULOII;2020-05-23;BELO HORIZONTE;LEITE UHT INTEGRAL 1L CX C/12;2500;UN;2,219;5547,5
162;HOSPITALJESUSMENINO;2020-05-23;CENTRAL DE MINAS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
163;HOSPITALJOAOPAULOII;2020-05-23;ARAPORA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
164;HOSPITALJORGECAETANODEMATTOS;2020-05-23;ERVÁLIA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
165;HOSPITALJOSÉMARIAMORAES;2020-05-23;CORONEL FABRICIANO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
166;HOSPITALJÚLIAKUBITSCHEK;2020-05-23;RIO PIRACICABA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
167;HOSPITALMÁRCIOCUNHA;2020-05-23;IPATINGA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
168;HOSPITALMARGARIDA;2020-05-23;JOÃO MONLEVADE;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
169;HOSPITALMARIAELOY;2020-05-23;PALMA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
